paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
3,tongue,C0040408,"Body Part, Organ, or Organ Component",LOCATION_OF,lingual artery,C0226104,"Body Part, Organ, or Organ Component",False,True
12,palms,C0682477,Plant,PART_OF,hands,C0018563,"Body Part, Organ, or Organ Component",False,True
31,x-ray tube,C0184486,Medical Device,PRODUCES,x-rays,C0043299,Diagnostic Procedure,False,True
31,tissues,C0040300,Tissue,AFFECTS,x-rays,C0043299,Diagnostic Procedure,False,True
32,bone,C0005931,Tissue,AFFECTS,x-rays,C0043299,Diagnostic Procedure,False,True
35,barium sulfate suspension,C0361993,Pharmacologic Substance,AFFECTS,x-rays,C0043299,Diagnostic Procedure,False,True
36,iodine,C0021968,Pharmacologic Substance,AFFECTS,x-rays,C0043299,Diagnostic Procedure,False,True
37,contrast media,C0009924,"Indicator, Reagent, or Diagnostic Aid",TRAVERSES,arteries,C0003842,"Body Part, Organ, or Organ Component",False,True
37,contrast media,C0009924,"Indicator, Reagent, or Diagnostic Aid",TRAVERSES,veins,C0042449,"Body Part, Organ, or Organ Component",False,True
37,contrast media,C0009924,"Indicator, Reagent, or Diagnostic Aid",TRAVERSES,circulation,C0005775,Physiologic Function,False,True
45,free protons,C0033727,"Element, Ion, or Isotope",PART_OF,hydrogen nuclei,C0020275,"Element, Ion, or Isotope",False,True
46,imaging sequences,C0162326,Nucleotide Sequence,PRODUCES,image contrast,C0009924,"Indicator, Reagent, or Diagnostic Aid",False,True
49,t2-weighted images,C4744828,Diagnostic Procedure,PRODUCES,bright signal,C3539536,Gene or Genome,False,True
52,imaging,C0011923,Diagnostic Procedure,USES,gamma rays,C0017011,Natural Phenomenon or Process,False,True
54,nucleus,C0007610,Cell Component,PRODUCES,gamma rays,C0017011,Natural Phenomenon or Process,False,True
54,electrons,C0013852,"Element, Ion, or Isotope",PRODUCES,x-rays,C0043299,Diagnostic Procedure,False,True
58,decay,C1265875,Acquired Abnormality,PROCESS_OF,proton-rich radionuclides,C0034595,"Element, Ion, or Isotope",False,True
66,chest radiograph,C3842377,Diagnostic Procedure,IS_A,plain radiographs,C1306645,Diagnostic Procedure,False,True
68,chest radiograph,C3842377,Diagnostic Procedure,EXHIBITS,lungs,C0024109,"Body Part, Organ, or Organ Component",False,True
71,intravenous urography,C0203108,Diagnostic Procedure,IS_A,investigation,C0220825,Health Care Activity,False,True
72,radiographs,C1306645,Diagnostic Procedure,EXHIBITS,kidneys,C0022646,"Body Part, Organ, or Organ Component",False,True
77,intravenous contrast agents,C0009924,"Indicator, Reagent, or Diagnostic Aid",AFFECTS,tissue contrast,C0009924,"Indicator, Reagent, or Diagnostic Aid",False,True
77,mri contrast agents,C0009924,"Indicator, Reagent, or Diagnostic Aid",CONTAINS,gadolinium,C0016911,"Indicator, Reagent, or Diagnostic Aid",False,True
77,mri contrast agents,C0009924,"Indicator, Reagent, or Diagnostic Aid",CONTAINS,manganese,C0024706,Biologically Active Substance,False,True
83,skeletal system,C0037253,Body System,CONSISTS_OF,cartilage,C0007301,Tissue,False,True
83,skeletal system,C0037253,Body System,CONSISTS_OF,bone,C0005931,Tissue,False,True
84,cartilage,C0007301,Tissue,IS_A,connective tissue,C0009780,Tissue,False,True
84,cartilage,C0007301,Tissue,CONTAINS,extracellular fibers,C0521119,Cell Component,False,True
84,cartilage,C0007301,Tissue,CONTAINS,cells,C0007634,Cell,False,True
85,hyaline,C0020191,Body Substance,IS_A,cartilage,C0007301,Tissue,False,True
85,elastic,,Tissue,IS_A,cartilage,C0007301,Tissue,False,True
85,fibrocartilage,C0684077,Tissue,IS_A,cartilage,C0007301,Tissue,False,True
87,bone,C0005931,Tissue,CONTAINS,calcium,C0006675,Pharmacologic Substance,False,True
87,bone,C0005931,Tissue,CONTAINS,phosphorus,C0031705,"Element, Ion, or Isotope",False,True
88,spongy bone,C0222660,Tissue,CONTAINS,blood-forming cells,C0018956,Cell,False,True
89,long bones,C0222647,"Body Part, Organ, or Organ Component",IS_A,tubular,C0151747,Disease or Syndrome,False,True
90,short bones,C0222648,"Body Part, Organ, or Organ Component",IS_A,cuboidal,C0935440,Cell,False,True
91,flat bones,C0222649,"Body Part, Organ, or Organ Component",CONSISTS_OF,compact bone,C0222661,Tissue,False,True
91,flat bones,C0222649,"Body Part, Organ, or Organ Component",CONSISTS_OF,spongy bone,C0222660,Tissue,False,True
