paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
4174,tissues,C0040300,Tissue,LOCATION_OF,effector t cells,C3641722,Cell,False,True
4176,neutrophils,C0027950,Cell,LOCATION_OF,e-selectin ligands,C0023688,Chemical,False,True
4183,th1 cells,C0242632,Cell,AFFECTS,host response,C0020964,Organ or Tissue Function,False,True
4183,th1 cells,C0242632,Cell,AFFECTS,macrophages,C0024432,Cell,False,True
4185,t cells,C0039194,Cell,AFFECTS,disintegration,C1265875,Acquired Abnormality,False,True
4185,il-12,C0123759,"Amino Acid, Peptide, or Protein",AFFECTS,disintegration,C1265875,Acquired Abnormality,False,True
4186,il-12,C0123759,"Amino Acid, Peptide, or Protein",AFFECTS,th1 cd4+ t cells,C0039194,Cell,False,True
4187,tumor necrosis factor-α,C1448177,"Amino Acid, Peptide, or Protein",AFFECTS,macrophage,C0024432,Cell,False,True
4187,interferon-γ,C0021747,"Amino Acid, Peptide, or Protein",AFFECTS,macrophage,C0024432,Cell,False,True
4187,macrophage,C0024432,Cell,AFFECTS,intracellular trypanosoma cruzi,C0041221,Eukaryote,False,True
4194,th1 cells,C0242632,Cell,CAUSES,granulomas,C0018188,Pathologic Function,False,True
4200,th2 cells,C0242633,Cell,MANAGES,intestinal helminths,C0018893,Eukaryote,False,True
4200,th2 cells,C0242633,Cell,MANAGES,tissue injury,C0043240,Organism Function,False,True
4204,il-33,C1667752,"Amino Acid, Peptide, or Protein",BRINGS_ABOUT,adaptive immunity,C0678209,Physiologic Function,False,True
4207,basophils,C0004827,Cell,AFFECTS,chronic allergic dermatitis,C0011615,Disease or Syndrome,False,True
4207,basophils,C0004827,Cell,AFFECTS,protective immunity,C0020965,Organ or Tissue Function,False,True
4208,innate immune cell,C4330475,Cell,PERFORMS,th2 cytokine responses,C2247677,Cell Function,False,True
4209,basophils,C0004827,Cell,AFFECTS,host immunity,C0020964,Organ or Tissue Function,False,True
4243,granzyme pathways,C1704259,Molecular Function,PART_OF,programmed cell death,C0162638,Cell Function,False,True
4248,smallpox virus infection,C0037356,Virus,PRECEDES,antiviral immunity,C0020964,Organ or Tissue Function,False,True
4260,peripheral blood b cells,C1518999,Cell,EXHIBITS,cd27 cell surface antigen,C0003339,Immunologic Factor,False,True
4286,s1pr1,C1414253,Gene or Genome,AFFECTS,resident memory cd8+ t cells,C0242629,Cell,False,True
4287,cd4 t-cell,C5420769,Cell,AFFECTS,cd8 t-cell memory,C0242629,Cell,False,True
4288,cd4 t cells,C5420769,Cell,AFFECTS,cd8 t cell memory generation,C0242629,Cell,False,True
4289,cd40,C0054959,"Amino Acid, Peptide, or Protein",AFFECTS,cd8 t cell memory,C0242629,Cell,False,True
4290,cd4 t cells,C5420769,Cell,AFFECTS,secondary expansion,C0027627,Neoplastic Process,False,True
4290,cd4 t cells,C5420769,Cell,AFFECTS,memory,C0025260,Mental Process,False,True
4291,cd4 t cell,C0039215,Cell,AFFECTS,cd8 t cell memory,C0242629,Cell,False,True
4292,cd4 t cells,C5420769,Cell,AFFECTS,cd8 t cells,C0242629,Cell,False,True
4295,memory lymphocytes,C0682638,Cell,CAUSES,responses,C0871261,Organism Attribute,False,True
4297,fc receptors,C0034805,"Amino Acid, Peptide, or Protein",AFFECTS,b cell,C0004561,Cell,False,True
4304,gut,C0017189,Body System,LOCATION_OF,immunoglobulin antibodies,C0021027,"Amino Acid, Peptide, or Protein",False,True
4308,mucosal immune system,C0020962,Body System,CONTAINS,mucus-secreting epithelium,C1513729,Cell,False,True
4310,mucosal response,C0282557,Organ or Tissue Function,FUNCTIONALLY_RELATED_TO,infection,C0009450,Disease or Syndrome,False,True
4324,cells,C0007634,Cell,LOCATION_OF,mucosal tissues,C0026724,Tissue,False,True
4325,lymphocytes,C0024264,Cell,LOCATION_OF,intestinal tract,C0021853,"Body Part, Organ, or Organ Component",False,True
4325,lymphocytes,C0024264,Cell,LOCATION_OF,surface epithelium,C1182809,Body Location or Region,False,True
4325,lymphocytes,C0024264,Cell,LOCATION_OF,lamina propria,C1179187,Tissue,False,True
4328,epithelial cells,C0014597,Cell,PERFORMS,digestion,C0012238,Organism Function,False,True
4328,epithelial cells,C0014597,Cell,PERFORMS,absorption,C0000854,Natural Phenomenon or Process,False,True
4329,galt,C0268151,Disease or Syndrome,CONTAINS,peyer’s patches,C0031272,"Body Part, Organ, or Organ Component",False,True
4329,peyer’s patches,C0031272,"Body Part, Organ, or Organ Component",LOCATION_OF,small intestine,C0021852,"Body Part, Organ, or Organ Component",False,True
4329,lymphoid follicles,C0229654,"Body Part, Organ, or Organ Component",LOCATION_OF,intestine,C0021853,"Body Part, Organ, or Organ Component",False,True
4329,tonsils,C0040421,"Body Part, Organ, or Organ Component",CONTAINS,lymphoid tissue,C0024296,Tissue,False,True
4330,waldeyer’s ring,C0459892,"Body Part, Organ, or Organ Component",SURROUNDS,gut,C0017189,Body System,False,True
4331,waldeyer’s ring,C0459892,"Body Part, Organ, or Organ Component",SURROUNDS,respiratory tract,C0035237,Body System,False,True
4331,surface,C0934502,"Body Part, Organ, or Organ Component",CONTAINS,crypts,C0227427,Body Space or Junction,False,True
4333,m cells,C0599757,Cell,CONTAINS,pockets,C0224517,Body Space or Junction,False,True
4333,myeloid cells,C0011306,Cell,INTERACTS_WITH,m cells,C0599757,Cell,False,True
4340,bacteria,C0004611,Bacterium,PRODUCES,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,True
4342,mucosal immune system,C0020962,Body System,CONTAINS,effector lymphocytes,C3641722,Cell,False,True
4343,gut,C0017189,Body System,CONTAINS,lymphocytes,C0024264,Cell,False,True
4343,lung,C0024109,"Body Part, Organ, or Organ Component",CONTAINS,lymphocytes,C0024264,Cell,False,True
4343,gut,C0017189,Body System,CONTAINS,leukocytes,C0023516,Cell,False,True
4344,lamina propria,C1179187,Tissue,CONTAINS,immune cells,C4330475,Cell,False,True
4346,t cells,C0039194,Cell,INTERACTS_WITH,madcam-1,C1138490,"Amino Acid, Peptide, or Protein",False,True
4366,macrophages,C0024432,Cell,PRODUCES,il-10,C0085295,"Amino Acid, Peptide{, or Protein",False,True
4372,cytokine tgf-β,C0079189,"Amino Acid, Peptide, or Protein",MANAGES,class switching,C0206071,Genetic Function,False,True
4374,pigr,C1418569,Gene or Genome,LOCATION_OF,basolateral surfaces,,Cell Component,False,True
4376,iga,C0020835,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,mucus,C0026727,Body Substance,False,True
4391,intestinal epithelium,C0226890,Tissue,PART_OF,immune system,C0020962,Body System,False,True
4392,intraepithelial lymphocytes,C1512944,Cell,IS_A,lymphocytes,C0024264,Cell,False,True
4396,cd8 intraepithelial t cells,C0039195,Cell,INTERACTS_WITH,mhc class i molecules,C0019629,"Amino Acid, Peptide, or Protein",False,True
4396,cd8 intraepithelial t cells,C0039195,Cell,INTERACTS_WITH,mic-a,C0066256,Organic Chemical,False,True
4396,cd8 intraepithelial t cells,C0039195,Cell,INTERACTS_WITH,mic-b,C0066256,Organic Chemical,False,True
4397,α:β receptors,C0034790,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,mhc class ib molecules,C0024518,Gene or Genome,False,True
4397,nkg2d,C1425775,Gene or Genome,INTERACTS_WITH,mic-a,C0066256,Organic Chemical,False,True
4397,nkg2d,C1425775,Gene or Genome,INTERACTS_WITH,mic-b,C0066256,Organic Chemical,False,True
4412,salmonella,C0036111,Bacterium,CAUSES,caspase 1 activation,C1159825,Molecular Function,False,True
4412,macrophages,C0024432,Cell,PRODUCES,cxcl8,C1366571,Gene or Genome,False,True
4413,salmonella enterica serovar typhimurium,C0036126,Bacterium,CAUSES,food poisoning,C0016479,Injury or Poisoning,False,True
4416,cell-wall peptides,,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,nod1,C1826448,Gene or Genome,False,True
4421,shigella flexneri,C0036957,Bacterium,CONNECTED_TO,m cells,C0599757,Cell,False,True
4421,nod1,C1826448,Gene or Genome,CONNECTED_TO,ripk2,C1414387,Gene or Genome,False,True
4421,activated epithelial cells,C0014597,Cell,PRODUCES,cxcl8,C1366571,Gene or Genome,False,True
4424,pathogens,C0450254,Organism,CAUSES,adaptive immune responses,C1155229,Cell Function,False,True
4432,mesenteric lymph node,C0229792,"Body Part, Organ, or Organ Component",LOCATION_OF,regulatory t cells,C0039198,Cell,False,True
4433,intestine,C0021853,"Body Part, Organ, or Organ Component",LOCATION_OF,effector t cells,C3641722,Cell,False,True
4437,normal intestine,C0021853,"Body Part, Organ, or Organ Component",CONTAINS,bacteria,C0004611,Bacterium,False,True
4438,intestine,C0021853,"Body Part, Organ, or Organ Component",CONTAINS,organisms,C0029235,Organism,False,True
4438,colon,C0009368,"Body Part, Organ, or Organ Component",CONTAINS,microbes,C0445623,Organism,False,True
4439,commensal bacteria,C0029235,Organism,PRODUCES,short-chain fatty acids,C0015691,Organic Chemical,False,True
4440,antibiotics,C0003232,Antibiotic,DISRUPTS,commensal gut bacteria,C0445623,Organism,False,True
4443,bacteria,C0004611,Bacterium,PRODUCES,antigen-specific responses,C4531146,Cell or Molecular Dysfunction,False,True
4445,clostridium difficile,C0079134,Bacterium,PRODUCES,toxins,C0040549,Biologically Active Substance,False,True
