paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
1672,osteoclast activity,C0029431,Cell,PERFORMS,creation,C0441513,Therapeutic or Preventive Procedure,False,True
1672,osteoclasts,C0029431,Cell,PERFORMS,resorption,C2985494,Organism Function,False,True
1673,cutting cone,C0152060,Therapeutic or Preventive Procedure,CONSISTS_OF,osteoclasts,C0029431,Cell,False,True
1674,osteoclasts,C0029431,Cell,INGREDIENT_OF,cutting cone,C0152060,Therapeutic or Preventive Procedure,False,True
1674,cutting cone,C0152060,Therapeutic or Preventive Procedure,TRAVERSES,haversian canal,C4082189,"Body Part, Organ, or Organ Component",False,True
1675,osteoclasts,C0029431,Cell,PERFORMS,canal,C0086881,Body Space or Junction,False,True
1677,bone,C0005931,Tissue,CONTAINS,haversian systems,C0824691,Tissue,False,True
1678,imbalance,C1397014,Sign or Symptom,CAUSES,osteoporosis,C0029456,Disease or Syndrome,False,True
1680,mineralization,C0006660,Organ or Tissue Function,OCCURS_IN,extracellular matrix,C0015350,Tissue,False,True
1682,osteocalcin,C0029419,"Amino Acid, Peptide, or Protein",PRODUCES,local concentration,C0086045,Mental Process,False,True
1682,local concentration,C0086045,Mental Process,AFFECTS,osteoblasts,C0029418,Cell,False,True
1684,matrix vesicles,C0333262,Anatomical Abnormality,CAUSES,crystallization,C0010423,Natural Phenomenon or Process,False,True
1685,crystals,C0427896,Body Substance,CAUSES,mineralization,C0006660,Organ or Tissue Function,False,True
1687,bone,C0005931,Tissue,CONTAINS,body calcium,C0006675,Pharmacologic Substance,False,True
1690,pth,C0020063,"Amino Acid, Peptide, or Protein",AFFECTS,bone,C0005931,Tissue,False,True
1690,calcitonin,C0006668,"Amino Acid, Peptide, or Protein",AFFECTS,blood calcium,C0006675,Pharmacologic Substance,False,True
1691,pth,C0020063,"Amino Acid, Peptide, or Protein",CAUSES,calcium,C0006675,Pharmacologic Substance,False,True
1691,pth,C0020063,"Amino Acid, Peptide, or Protein",AFFECTS,excretion of calcium,,,False,True
1691,pth,C0020063,"Amino Acid, Peptide, or Protein",AFFECTS,absorption of calcium,,,False,True
1691,calcitonin,C0006668,"Amino Acid, Peptide, or Protein",PREVENTS,bone resorption,C0005974,Organ or Tissue Function,False,True
1692,pth,C0020063,"Amino Acid, Peptide, or Protein",CAUSES,bone resorption,C0005974,Organ or Tissue Function,False,True
1696,pituitary growth hormone,C0037663,"Amino Acid, Peptide, or Protein",AFFECTS,bone,C0005931,Tissue,False,True
1696,pituitary growth hormone,C0037663,"Amino Acid, Peptide, or Protein",AFFECTS,epiphyseal cartilage,C0018283,"Body Part, Organ, or Organ Component",False,True
1696,insulin,C0021641,"Amino Acid, Peptide, or Protein",AFFECTS,chondrocyte activity,C0225369,Cell,False,True
1696,thyroid hormones,C0040135,Hormone,AFFECTS,chondrocyte activity,C0225369,Cell,False,True
1699,osteoblasts,C0029418,Cell,PRODUCES,spongy bone,C0222660,Tissue,False,True
1699,osteoclasts,C0029431,Cell,AFFECTS,bony callus,C0006767,Tissue,False,True
1700,pins,C0175718,Medical Device,AFFECTS,healing,C0043240,Organism Function,False,True
1700,screws,C0301559,Medical Device,AFFECTS,healing,C0043240,Organism Function,False,True
1700,casts,C0179686,Medical Device,AFFECTS,healing,C0043240,Organism Function,False,True
1702,bone,C0005931,Tissue,IS_A,connective tissue,C0009780,Tissue,False,True
1702,bone,C0005931,Tissue,CONTAINS,calcium,C0006675,Pharmacologic Substance,False,True
1702,bone,C0005931,Tissue,CONTAINS,phosphate,C0031603,Inorganic Chemical,False,True
1702,bones,C0262950,"Body Part, Organ, or Organ Component",PART_OF,skeletal system,C0037253,Body System,False,True
1705,haversian canal,C4082189,"Body Part, Organ, or Organ Component",CONTAINS,blood vessels,C0005847,"Body Part, Organ, or Organ Component",False,True
1705,haversian canal,C4082189,"Body Part, Organ, or Organ Component",CONTAINS,connective tissue,C0009780,Tissue,False,True
1709,destruction,C1261381,Therapeutic or Preventive Procedure,AFFECTS,osteons,C0824691,Tissue,False,True
1709,formation,C0220781,Biologic Function,PRODUCES,osteon,C0824691,Tissue,False,True
1716,bone,C0005931,Tissue,CONTAINS,type i collagen,C0041455,"Amino Acid, Peptide, or Protein",False,True
1716,calcium phosphate,C0006711,Pharmacologic Substance,INGREDIENT_OF,hydroxyapatite crystals,C0115137,Biomedical or Dental Material,False,True
1720,bone matrix,C0005962,Tissue,LOCATION_OF,osteocytes,C0029432,Cell,False,True
1721,bone,C0005931,Tissue,LOCATION_OF,osteoclasts,C0029431,Cell,False,True
1723,bone tissue,C0391978,Tissue,PRODUCES,osteons,C0824691,Tissue,False,True
1725,osteoblast,C0029418,Cell,PRODUCES,bone,C0005931,Tissue,False,True
1730,periosteum,C0031110,Tissue,PRODUCES,cavity,C0011334,Disease or Syndrome,False,True
1730,cavity,C0011334,Disease or Syndrome,CONTAINS,fat cells,C0206131,Cell,False,True
1730,cavity,C0011334,Disease or Syndrome,CONTAINS,hematopoietic tissue,C0229619,Tissue,False,True
1730,cavity,C0011334,Disease or Syndrome,CONTAINS,connective tissue,C0009780,Tissue,False,True
1735,invasion,C1269955,Neoplastic Process,OCCURS_IN,epiphysis,C0014570,"Body Part, Organ, or Organ Component",False,True
1735,collar,C0175751,Medical Device,SURROUNDS,cartilage model,C0007301,Tissue,False,True
1735,bone,C0005931,Tissue,OCCURS_IN,connective tissue membrane,C0004799,Tissue,False,True
1737,cartilage cells,C3161470,Cell,EXHIBITS,hypertrophic,C0020564,Pathologic Function,False,True
1741,erosion,C0333307,Acquired Abnormality,OCCURS_IN,cartilage,C0007301,Tissue,False,True
1745,secondary ossification center,C1184751,"Body Part, Organ, or Organ Component",LOCATION_OF,endochondral bone,C0682564,Tissue,False,True
1750,cartilage matrix,C0225371,Tissue,CONTAINS,calcium salts,C0357197,Pharmacologic Substance,False,True
1751,osteoblasts,C0029418,Cell,PRODUCES,endochondral bone,C0682564,Tissue,False,True
1753,cartilage spicules,C0007301,Tissue,LOCATION_OF,osteoblasts,C0029418,Cell,False,True
1754,osteoblasts,C0029418,Cell,PRODUCES,bone,C0005931,Tissue,False,True
1754,bone matrix,C0005962,Tissue,LOCATION_OF,osteocyte,C0029432,Cell,False,True
1757,bone surface,C0825429,Body Location or Region,LOCATION_OF,osteoblasts,C0029418,Cell,False,True
1763,bs,C0005859,Disease or Syndrome,PART_OF,mandible,C0024687,"Body Part, Organ, or Organ Component",False,True
1763,mesenchymal cells,C1257975,Cell,PRODUCES,osteoblasts,C0029418,Cell,False,True
1763,enamel organ,C0014032,Embryonic Structure,PART_OF,developing tooth,C0227024,"Body Part, Organ, or Organ Component",False,True
1767,adipose tissue,C0001527,Tissue,IS_A,connective tissue,C0009780,Tissue,False,True
1770,triglycerides,C0041004,Organic Chemical,IS_A,metabolic energy storage,C0014272,Physiologic Function,False,True
1771,adipose tissue,C0001527,Tissue,IS_A,endocrine organ,C0014133,"Body Part, Organ, or Organ Component",False,True
1773,white adipose tissue,C1704223,Tissue,IS_A,adipose tissue,C0001527,Tissue,False,True
1773,brown adipose tissue,C0006298,Tissue,IS_A,adipose tissue,C0001527,Tissue,False,True
1774,white adipose tissue,C0001527,Tissue,OCCURS_IN,adult,C0001675,Age Group,False,True
1776,white adipose tissue,C1704223,Tissue,PERFORMS,energy storage,C0542479,Natural Phenomenon or Process,False,True
1776,white adipose tissue,C1704223,Tissue,PERFORMS,insulation,,,False,True
1776,white adipose tissue,C1704223,Tissue,PERFORMS,cushioning,C0180249,Medical Device,False,True
1776,white adipose tissue,C1704223,Tissue,PERFORMS,secretion,C0036536,Biologic Function,False,True
1777,white adipose tissue,C0007457,Population Group,PART_OF,panniculus adiposus,C0222331,Tissue,False,True
1777,connective tissue,C0009780,Tissue,LOCATION_OF,adipose tissue,C0001527,Tissue,False,True
1777,mammary fat pad,C1512979,Tissue,CONTAINS,adipose tissue,C0001527,Tissue,False,True
1777,female breast,C0222603,"Body Part, Organ, or Organ Component",CONTAINS,adipose tissue,C0001527,Tissue,False,True
1778,omentum,C0028977,"Body Part, Organ, or Organ Component",LOCATION_OF,adipose tissue,C0001527,Tissue,False,True
1778,retroperitoneal space,C0035359,Body Space or Junction,LOCATION_OF,adipose tissue,C0001527,Tissue,False,True
1780,leptin,C0299583,"Amino Acid, Peptide, or Protein",AFFECTS,central nervous system,C3540014,"Indicator, Reagent, or Diagnostic Aid",False,True
1780,leptin,C0299583,"Amino Acid, Peptide, or Protein",AFFECTS,hypothalamus,C0020663,"Body Part, Organ, or Organ Component",False,True
1781,enzymes,C0014442,"Amino Acid, Peptide, or Protein",LOCATION_OF,adipocytes,C0206131,Cell,False,True
1781,enzymes,C0014442,"Amino Acid, Peptide, or Protein",AFFECTS,sex steroid profiles,,,False,True
1785,white adipose tissue,C1704223,Tissue,OCCURS_IN,fetal development,C0015928,Physiologic Function,False,True
1788,lipoblastic differentiation,C0007589,Cell Function,CO_OCCURS_WITH,rough-surfaced endoplasmic reticulum,C0230779,Cell Component,False,True
1788,lipoblastic differentiation,C0007589,Cell Function,CO_OCCURS_WITH,vesicles,C0333262,Anatomical Abnormality,False,True
1791,interleukin 6,C0021760,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,immune system cells,C0007634,Cell,False,True
1791,plasminogen activator,C0032144,"Amino Acid, Peptide, or Protein",PREVENTS,fibrinolytic system inhibitor-1,C0030190,Pharmacologic Substance,False,True
1798,cytoplasm,C0010834,Cell Component,SURROUNDS,lipid,C0023779,Organic Chemical,False,True
1799,blood vessels,C0005847,"Body Part, Organ, or Organ Component",PART_OF,adipose tissue,C0001527,Tissue,False,True
1799,capillaries,C0006901,"Body Part, Organ, or Organ Component",PART_OF,adipose tissue,C0001527,Tissue,False,True
1800,lipid mass,C0023779,Organic Chemical,PART_OF,adipocyte,C0206131,Cell,False,True
1802,perinuclear cytoplasm,C2253855,Cell Component,CONTAINS,golgi apparatus,C0018042,Cell Component,False,True
1802,perinuclear cytoplasm,C2253855,Cell Component,CONTAINS,free ribosomes,C1179933,Cell Component,False,True
1802,perinuclear cytoplasm,C2253855,Cell Component,CONTAINS,rer,C0230779,Cell Component,False,True
1802,perinuclear cytoplasm,C2253855,Cell Component,CONTAINS,microfilaments,C0025979,Cell Component,False,True
1802,perinuclear cytoplasm,C2253855,Cell Component,CONTAINS,intermediate filaments,C0021770,Cell Component,False,True
1802,thin rim,C1308727,"Amino Acid, Peptide, or Protein",SURROUNDS,lipid droplet,C0230704,Cell Component,False,True
1806,physiologic systems,C0182268,Medical Device,MANAGES,appetite,C0003618,Organism Function,False,True
1806,physiologic systems,C0182268,Medical Device,MANAGES,metabolism,C0025519,Organism Function,False,True
1807,ghrelin,C0911014,"Amino Acid, Peptide, or Protein",MANAGES,appetite,C0003618,Organism Function,False,True
1807,peptide yy,C0070358,"Amino Acid, Peptide, or Protein",MANAGES,appetite,C0003618,Organism Function,False,True
1808,genetic mutation,C0026882,Genetic Function,CAUSES,prader-willi syndrome,C0032897,Disease or Syndrome,False,True
1821,adipocytes,C0206131,Cell,CONTAINS,fat droplets,C0230704,Cell Component,False,True
1824,multilocular adipocyte,C0006298,Tissue,CONTAINS,mitochondria,C0026237,Cell Component,False,True
1824,mitochondria,C0026237,Cell Component,CONTAINS,cytochrome oxidase,C0010760,"Amino Acid, Peptide, or Protein",False,True
1826,spine,C0037949,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,sternal,C0038293,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,kidney,C0022646,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,adrenal glands,C0001625,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,vessels,C0005847,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,aorta,C0003483,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,deep cervical,C0458298,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1826,mediastinum,C0025066,"Body Part, Organ, or Organ Component",LOCATION_OF,brown adipose tissue,C0006298,Tissue,False,True
1827,lobules,C0921005,"Body Part, Organ, or Organ Component",PART_OF,brown adipose tissue,C0006298,Tissue,False,True
1835,lipid,C0023779,Organic Chemical,PRODUCES,heat,C0014948,Physiologic Function,False,True
1836,brown adipose tissue,C0006298,Tissue,CONTAINS,lipid,C0023779,Organic Chemical,False,True
1838,brown adipose tissue,C0006298,Tissue,PRODUCES,heat,C0014948,Physiologic Function,False,True
1838,brown adipocytes,C1720857,Cell,PRODUCES,heat,C0014948,Physiologic Function,False,True
1843,atp synthase enzyme,C0004199,"Amino Acid, Peptide, or Protein",LOCATION_OF,inner mitochondrial membrane,C0230840,Cell Component,False,True
1844,mitochondria,C0026237,Cell Component,PRODUCES,heat,C0014948,Physiologic Function,False,True
1845,sympathetic nerve system,C0039044,Body System,MANAGES,metabolic activity,C1524026,Cell Function,False,True
1855,blood vessels,C0005847,"Body Part, Organ, or Organ Component",CONTAINS,red blood cells,C0014792,Cell,False,True
1855,brown adipose tissue,C0006298,Tissue,CONSISTS_OF,small fat cells,C0206131,Cell,False,True
1855,small fat cells,C0206131,Cell,CONTAINS,vacuoles,C0042219,Cell Component,False,True
1858,blood,C0005767,Body Substance,IS_A,connective tissue,C0009780,Tissue,False,True
1858,blood,C0005767,Body Substance,TRAVERSES,cardiovascular system,C0007226,Body System,False,True
1859,blood,C0005767,Body Substance,CONSISTS_OF,cells,C0007634,Cell,False,True
1859,blood,C0005767,Body Substance,CONSISTS_OF,extracellular component,C1166607,Cell Component,False,True
1881,drop,C0991568,Biomedical or Dental Material,PRODUCES,monolayer,C0872351,Clinical Drug,False,True
1884,bloodstream,C0005775,Physiologic Function,LOCATION_OF,erythrocytes,C0014792,Cell,False,True
1892,cell membrane,C0007603,Cell Component,CONTAINS,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,True
1893,integral membrane proteins,C0021699,"Amino Acid, Peptide, or Protein",CONSISTS_OF,families,C0015576,Family Group,False,True
1893,cytoskeletal protein network,C0150775,Population Group,CONNECTED_TO,cell membrane,C0007603,Cell Component,False,True
1894,lattice,,,CONNECTED_TO,lipid bilayer,C0023768,Cell Component,False,True
1896,erythrocytes,C0014792,Cell,LOCATION_OF,capillaries,C0006901,"Body Part, Organ, or Organ Component",False,True
1897,stacks of erythrocytes,,,INDICATES,plasma immunoglobulin,C0021027,"Amino Acid, Peptide, or Protein",False,True
1901,erythrocytes,C0014792,Cell,CONTAINS,hemoglobin,C0008721,Organic Chemical,False,True
1901,hemoglobin,C0008721,Organic Chemical,PERFORMS,transport,C0005528,Cell Function,False,True
1902,hemoglobin,C0008721,Organic Chemical,PART_OF,erythrocytes,C0014792,Cell,False,True
1905,abo blood group system,C0078140,Therapeutic or Preventive Procedure,CONTAINS,a antigen,C0227089,"Body Part, Organ, or Organ Component",False,True
1905,abo blood group system,C0078140,Therapeutic or Preventive Procedure,CONTAINS,b antigen,C0227088,"Body Part, Organ, or Organ Component",False,True
